epoch,val_loss,val_acc,val_calibration_error,step,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch
0,1.1038261651992798,0.2324256747961044,0.110952079296112,35,0.991015076637268,0.6089191436767578,0.1077761352062225
1,0.9501477479934692,0.6189219355583191,0.1024245470762252,49,0.9597796201705932,0.6154487133026123,0.0919302701950073
2,0.9365261793136596,0.6278132796287537,0.0753246843814849,99,0.940803587436676,0.6236454844474792,0.095250017940998
3,0.9281861186027528,0.631147563457489,0.0883197337388992,143,0.9324411749839784,0.6286468505859375,0.0923929139971733
4,0.926573932170868,0.6353153586387634,0.1216464936733245,149,0.9270994067192078,0.6354542970657349,0.0958997011184692
5,0.9178786873817444,0.637260377407074,0.0971767455339431,199,0.9221556186676024,0.635176420211792,0.094538040459156
6,0.9105250239372252,0.6424006819725037,0.096976563334465,249,0.9162477850914,0.6367046236991882,0.102615401148796
7,0.9012712836265564,0.6465684771537781,0.0991729944944381,287,0.9082790613174438,0.6479577422142029,0.1073592081665992
8,0.8928574323654175,0.6496248841285706,0.0938389301300048,299,0.896340012550354,0.6562933921813965,0.1070882901549339
9,0.8977792263031006,0.6751875281333923,0.1834455132484436,349,0.881729781627655,0.6706029176712036,0.1241655051708221
10,0.8633782267570496,0.6964434385299683,0.1636277884244918,395,0.866680383682251,0.6875520944595337,0.1258677393198013
11,0.8414966464042664,0.7125590443611145,0.1259071230888366,399,0.8494135141372681,0.7189497351646423,0.1479036808013916
12,0.821898341178894,0.752292275428772,0.1381421834230423,449,0.8331461548805237,0.7221450209617615,0.141785055398941
13,0.8629988431930542,0.7014448642730713,0.1855014711618423,499,0.8162174820899963,0.7684078812599182,0.1766949445009231
14,0.7900478839874268,0.826618492603302,0.2453948110342025,539,0.7977500557899475,0.7907752394676208,0.1856519728899002
15,0.8444241285324097,0.7107529640197754,0.1280425637960434,549,0.7801118493080139,0.8224506974220276,0.2055497914552688
16,0.7712884545326233,0.7916087508201599,0.2018803060054779,599,0.7631464600563049,0.8437066078186035,0.2197137624025344
17,0.7333422899246216,0.8927479982376099,0.2684426605701446,647,0.743323028087616,0.8612114191055298,0.2262542843818664
18,0.795279860496521,0.7464573383331299,0.1506880819797516,649,0.7193998098373413,0.8862183690071106,0.2392960786819458
